,bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat
0,11761985,파씨공구일사,,Q,음식,Q06,양식,Q06A01,정통양식/경양식,I56114,서양식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106310035,1,대지,631,35,서울특별시 강남구 신사동 631-35,116804166277,서울특별시 강남구 도산대로45길,15,,1168010700106310035010663,,서울특별시 강남구 도산대로45길 15,135895,06021,,1,,127.035113977249,37.5232230587822
1,11773842,옳음,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106470003,1,대지,647,3,서울특별시 강남구 신사동 647-3,116804166524,서울특별시 강남구 압구정로46길,51,,1168010700106470003026734,,서울특별시 강남구 압구정로46길 51,135896,06020,,2,,127.036015469448,37.5252577870282
2,11774123,쥬씨압구정2호점,압구정2호점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106140007,1,대지,614,7,서울특별시 강남구 신사동 614-7,116803122007,서울특별시 강남구 압구정로,212,,1168010700106140007009736,방우빌딩,서울특별시 강남구 압구정로 212,135894,06022,,1,,127.030438561909,37.5278341935221
3,11776165,AHC플레이존신사점카페테리아,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106290026,1,대지,629,26,서울특별시 강남구 신사동 629-26,116802122001,서울특별시 강남구 도산대로,237,,1168010700106290026000001,현대벨로스오피스텔,서울특별시 강남구 도산대로 237,135895,06026,,1,,127.033006528423,37.5217190868602
4,11778562,요요프레쉬티바,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106290015,1,대지,629,15,서울특별시 강남구 신사동 629-15,116802122001,서울특별시 강남구 도산대로,235,,1168010700106290015000001,(주)평화자동차강남사옥,서울특별시 강남구 도산대로 235,135895,06026,,1,,127.032623793134,37.521571784255
5,11792420,삼곱식당신사점,신사점,Q,음식,Q01,한식,Q01A03,곱창/양구이전문,I56111,한식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106280044,1,대지,628,44,서울특별시 강남구 신사동 628-44,116804166275,서울특별시 강남구 도산대로37길,18,,1168010700106280044011033,,서울특별시 강남구 도산대로37길 18,135895,06026,,1,,127.031496720549,37.5221211994483
6,11793443,스시킨,,Q,음식,Q03,일식/수산물,Q03A03,음식점-초밥전문,I56113,일식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106640003,1,대지,664,3,서울특별시 강남구 신사동 664-3,116804166477,서울특별시 강남구 선릉로161길,6,,1168010700106640003009840,,서울특별시 강남구 선릉로161길 6,135897,06018,,1,,127.039860344328,37.5271542848546
7,11793826,칼삼겹살,,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,한식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106570021,1,대지,657,21,서울특별시 강남구 신사동 657-21,116804166282,서울특별시 강남구 도산대로51길,41,,1168010700106570021010076,,서울특별시 강남구 도산대로51길 41,135897,06018,,1,,127.038088471423,37.5259324571746
8,11797742,던킨도너츠압구정역점,압구정역점,Q,음식,Q07,패스트푸드,Q07A06,도너츠전문,I56191,제과점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106140000,1,대지,614,,서울특별시 강남구 신사동 614,116803122007,서울특별시 강남구 압구정로,204,,1168010700106140000009800,대언빌딩,서울특별시 강남구 압구정로 204,135894,06022,,1,,127.029381016911,37.5273749811517
9,11801154,우가,,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,한식 음식점업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106530020,1,대지,653,20,서울특별시 강남구 신사동 653-20,116804166279,서울특별시 강남구 도산대로49길,22,,1168010700106530020010369,,서울특별시 강남구 도산대로49길 22,135897,06019,,8,,127.037339378756,37.5243585234233
